outer_color_hex,inner_color_hex
#A4E522,#3018A5
#A4E522,#4222E5
#A4E522,#330D59
#A4E522,#5F18A5
#A4E522,#8322E5
#A4E522,#4C0D59
#A4E522,#8E18A5
#A4E522,#C422E5
#A4E522,#590D3F
#A4E522,#A51876
#A4E522,#E522A4
#A4E522,#590D26
#A4E522,#A51847
#A4E522,#E52263
#26590D,#590D0D
#26590D,#A51818
#26590D,#E52222
#26590D,#59260D
#26590D,#A54718
#26590D,#E56322
#26590D,#59330D
#26590D,#A55F18
#26590D,#E58322
#26590D,#59460D
#26590D,#A58218
#26590D,#E5B422
#26590D,#59590D
#26590D,#A5A518
#26590D,#E5E522
#26590D,#3F590D
#26590D,#76A518
#26590D,#A4E522
#26590D,#47A518
#26590D,#63E522
#26590D,#0D590D
#26590D,#18A518
#26590D,#22E522
#26590D,#0D5926
#26590D,#18A547
#26590D,#22E563
#26590D,#0D593F
#26590D,#18A576
#26590D,#22E5A4
#26590D,#0D5959
#26590D,#18A5A5
#26590D,#22E5E5
#26590D,#0D3F59
#26590D,#1876A5
#26590D,#22A4E5
#26590D,#0D2659
#26590D,#1847A5
#26590D,#2263E5
#26590D,#1A0D59
#26590D,#3018A5
#26590D,#4222E5
#26590D,#330D59
#26590D,#5F18A5
#26590D,#8322E5
#26590D,#4C0D59
#26590D,#8E18A5
#26590D,#C422E5
#26590D,#590D3F
#26590D,#A51876
#26590D,#E522A4
#26590D,#590D26
#26590D,#A51847
#26590D,#E52263
#47A518,#590D0D
#47A518,#A51818
#47A518,#E52222
#47A518,#59260D
#47A518,#A54718
#47A518,#E56322
#47A518,#59330D
#47A518,#A55F18
#47A518,#E58322
#47A518,#59460D
#47A518,#A58218
#47A518,#E5B422
#47A518,#59590D
#47A518,#A5A518
#47A518,#E5E522
#47A518,#3F590D
#47A518,#76A518
#47A518,#A4E522
#47A518,#26590D
#47A518,#63E522
#47A518,#0D590D
#47A518,#18A518
#47A518,#22E522
#47A518,#0D5926
#47A518,#18A547
#47A518,#22E563
#47A518,#0D593F
#47A518,#18A576
#47A518,#22E5A4
#47A518,#0D5959
#47A518,#18A5A5
#47A518,#22E5E5
#47A518,#0D3F59
#47A518,#1876A5
#47A518,#22A4E5
#47A518,#0D2659
#47A518,#1847A5
#47A518,#2263E5
#47A518,#1A0D59
#47A518,#3018A5
#47A518,#4222E5
#47A518,#330D59
#47A518,#5F18A5
#47A518,#8322E5
#47A518,#4C0D59
#47A518,#8E18A5
#47A518,#C422E5
#47A518,#590D3F
#47A518,#A51876
#47A518,#E522A4
#47A518,#590D26
#47A518,#A51847
#47A518,#E52263
#63E522,#590D0D
#63E522,#A51818
#63E522,#E52222
#63E522,#59260D
#63E522,#A54718
#63E522,#E56322
#63E522,#59330D
#63E522,#A55F18
